vulnerability_index,total_victim,sex,ethnic_group,classification,victimization_fact,commune,date_processing,year
7,70650,Femenino,Moreno,Youth,Desplazamiento forzado,18,2018-11-13 00:00:00,2018
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,16,2019-09-24 00:00:00,2019
7,70650,Masculino,Afrocolombiano,Adulthood,Desplazamiento forzado,13,2012-08-26 00:00:00,2012
6,70650,Masculino,Negro,Adulthood,Desplazamiento forzado,21,2022-11-27 00:00:00,2022
6,70650,Femenino,Negro,Youth,Desaparicion forzada,14,2015-09-20 00:00:00,2015
8,70650,Femenino,Mestizo,Older adults,Desplazamiento forzado,18,2023-06-16 00:00:00,2023
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,14,2012-08-21 00:00:00,2012
8,70650,Masculino,Afrodescendiente,Childhood,Desplazamiento forzado,13,2022-10-14 00:00:00,2022
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,10,2022-09-16 00:00:00,2022
7,70650,Masculino,Otro,Childhood,Desplazamiento forzado,14,2013-08-09 00:00:00,2013
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,15,2017-05-09 00:00:00,2017
7,70650,Femenino,Moreno,Adulthood,Desplazamiento forzado,21,2013-07-08 00:00:00,2013
9,70650,Femenino,Palenquero,Childhood,Desplazamiento forzado,13,2012-06-19 00:00:00,2012
7,70650,Masculino,Afrocolombiano,Youth,Desplazamiento forzado,7,2015-11-10 00:00:00,2015
7,70650,Masculino,Negro,Childhood,Desplazamiento forzado,15,2012-08-09 00:00:00,2012
8,70650,Femenino,Negro,Childhood,Desplazamiento forzado,14,2012-07-30 00:00:00,2012
7,70650,Masculino,Mestizo,Older adults,Desplazamiento forzado,8,2022-06-16 00:00:00,2022
7,70650,Masculino,Negro,Older adults,Desplazamiento forzado,15,2014-11-13 00:00:00,2014
6,70650,Masculino,Negro,Adulthood,Desplazamiento forzado,15,2014-06-18 00:00:00,2014
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,18,2018-10-22 00:00:00,2018
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,13,2012-10-05 00:00:00,2012
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,18,2021-11-05 00:00:00,2021
7,70650,Masculino,Afrocolombiano,Adulthood,Desplazamiento forzado,8,2023-09-06 00:00:00,2023
9,70650,Femenino,Afrodescendiente,Childhood,Desplazamiento forzado,15,2012-11-04 00:00:00,2012
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,18,2017-04-03 00:00:00,2017
7,70650,Femenino,Otro,Youth,Desplazamiento forzado,8,2016-11-04 00:00:00,2016
8,70650,Femenino,Indigena,Adulthood,Desplazamiento forzado,6,2021-11-23 00:00:00,2021
7,70650,Masculino,Afrocolombiano,Childhood,Amenaza,15,2018-11-30 00:00:00,2018
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,18,2019-08-30 00:00:00,2019
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,21,2012-10-03 00:00:00,2012
